,Jnum,ROT_mean,ROT_std,SL_mean,SL_std,RDD_mean,RDD_std,NO_mean,NO_std,NO_max,U_mean,U_std,Ele_mean,Ele_low,WL_mean,WL_std,RDD_mean,RDD_std,NIV,NRT,Stay_mean,Stay_std,class
60,20,252.175,128.82713951260425,693.1000053267128,297.0916701277401,945.2750053267127,344.47419024486436,0.4,0.49,1,0.8793,0.0694,0.6293,0,293.7083333333333,150.75925321702664,945.2750053267127,344.47419024486436,0,136,298.0336567825978,220.34427304796822,0
61,29,204.44827586206895,112.49991148100627,411.7431004054173,446.7443335110181,616.1913762674862,502.0511491020078,0.7,0.46,1,0.8923,0.0367,0.3228,1,345.25,264.7979182319982,616.1913762674862,502.0511491020078,0,162,537.2662783923363,341.9059748141015,0
62,32,174.046875,115.40210674088397,336.5308925577964,424.7263631802697,510.5777675577964,495.43863317960773,0.2,0.4,1,0.9421,0.0308,0.5284,2,326.0416666666667,235.26682178019823,510.5777675577964,495.43863317960773,2,154,695.7069704879365,382.7008255209842,0
63,33,206.27272727272728,115.67850504275036,481.0377069409024,542.0967504276556,687.3104342136296,593.0775203889945,0.3,0.46,1,0.9206,0.0135,0.7993,0,389.75,265.1533754263747,687.3104342136296,593.0775203889945,0,191,649.4057256927916,294.14119948814306,2
64,14,210.82142857142858,113.57700458009866,730.1469326823786,369.34218663989367,940.9683612538072,424.32893753859565,0.2,0.4,1,0.8384,0.0444,0.4733,0,177.54166666666666,131.7061847341355,940.9683612538072,424.32893753859565,1,77,400.5934900489245,194.28894991643037,2
65,31,238.33870967741936,121.91902303980388,674.1638281281438,415.8882335112732,912.5025378055631,483.0763524680236,0.5,0.67,2,0.9491,0.0123,0.3081,3,429.2083333333333,271.71817954863127,912.5025378055631,483.0763524680236,0,194,420.2712273764447,316.48181327609365,0
66,30,204.46666666666667,107.38652408731534,562.8182105813124,362.94540059390897,767.2848772479791,423.14002813460166,0.5,0.5,1,0.9395,0.0359,0.4039,2,362.5,273.2676496282231,767.2848772479791,423.14002813460166,0,161,508.79656093675766,322.95220474056873,2
67,23,224.5,103.1220256488062,671.4029768342905,409.81737712015774,895.9029768342905,449.57137534514504,0.3,0.46,1,0.9239,0.0079,0.8054,0,296.875,218.2442367509392,895.9029768342905,449.57137534514504,2,144,413.7523853696257,231.65964711851197,0
68,14,162.78571428571428,117.99798943288856,672.2475062617558,288.133254764616,835.03322054747,334.6754245425653,0.1,0.3,1,0.8054,0.0877,0.5629,0,130.58333333333334,103.0438485413963,835.03322054747,334.6754245425653,1,61,429.88245447929523,215.87113102776073,1
69,41,191.1341463414634,104.61567436016576,347.9316984775878,283.3363055555008,539.0658448190513,318.7071578900876,0.5,0.5,1,0.901,0.0305,0.3084,3,453.4583333333333,332.1134004581702,539.0658448190513,318.7071578900876,0,221,670.6237135115474,322.3166757210504,0
70,27,236.09259259259258,133.35583400679866,479.0980375454955,404.80068118056755,715.1906301380882,464.86255158878384,0.9,0.54,2,0.9302,0.0334,0.4405,3,381.7083333333333,217.08000237367688,715.1906301380882,464.86255158878384,0,164,457.39231659175334,287.9350410348805,2
71,42,217.1547619047619,107.21309932932847,213.80196365195107,566.8467700784971,430.95672555671297,639.0890956377884,0.8,0.87,3,0.9366,0.007,0.7543,0,533.0416666666666,383.40456539260055,430.95672555671297,639.0890956377884,0,250,899.9695583765237,484.4290332574083,0
72,18,241.38888888888889,121.67905822234385,823.5058439880421,492.58205825022,1064.894732876931,537.9447122832019,0.4,0.66,2,0.8701,0.0427,0.6503,0,249.58333333333334,156.55561223482925,1064.894732876931,537.9447122832019,0,113,333.13932733910184,213.55207066811892,2
73,30,227.9,117.99317776888628,683.6407362123404,425.5641217531113,911.5407362123406,482.2321675085217,0.5,0.5,1,0.9452,0.0196,0.2634,4,405.9166666666667,268.41423469870017,911.5407362123406,482.2321675085217,0,182,454.34375700048184,266.6996754836911,1
74,23,208.7826086956522,140.44175847528217,614.5780549022852,425.4555622643792,823.3606635979376,483.5078002324938,0.5,0.67,2,0.9282,0.0425,0.5023,2,277.9166666666667,172.43716649518714,823.3606635979376,483.5078002324938,1,122,418.9385210601673,261.3483660892804,0
75,59,210.38983050847457,116.54562167014146,63.464310282999406,636.3774343779462,273.854140791474,715.443756023766,0.3,0.46,1,0.9401,0.015,0.595,1,723.4166666666666,493.97080857295833,273.854140791474,715.443756023766,0,338,1061.9409787304749,640.5499856351028,1
76,21,204.42857142857142,107.02650825560814,779.1508136604155,302.7544500071322,983.5793850889869,355.04535878780126,0.5,0.67,2,0.8836,0.0559,0.6079,0,254.0,194.36434858275837,983.5793850889869,355.04535878780126,0,114,382.80470648593956,207.5903303153896,2
77,26,231.8653846153846,109.48810593044655,525.5887883069366,392.6768042409112,757.4541729223214,460.8501416369854,0.1,0.3,1,0.9689,0.0115,0.3746,1,358.625,235.74952500835852,757.4541729223214,460.8501416369854,0,165,430.65073873753255,272.6068613147825,2
78,38,234.10526315789474,119.06970304332452,496.27370443564416,452.6070732885977,730.378967593539,526.8638464361959,0.4,0.49,1,0.9325,0.0401,0.3991,3,523.25,316.86560636964055,730.378967593539,526.8638464361959,0,245,591.0463651229524,421.0018118142113,1
79,54,210.4814814814815,121.80570301383307,172.56725980505993,550.0893413267406,383.0487412865415,631.2562926151603,0.4,0.49,1,0.921,0.0117,0.8196,0,664.8333333333334,436.92048920700535,383.0487412865415,631.2562926151603,0,310,859.1624767700827,523.0215216738426,2
80,21,224.47619047619048,130.68259221984025,597.9575906192568,399.57573002881327,822.4337810954473,461.09710230869246,0.6,0.66,2,0.811,0.0773,0.5979,0,287.1666666666667,192.162185550528,822.4337810954473,461.09710230869246,0,126,342.92382232171116,222.9362462521152,0
81,31,225.7258064516129,123.30671427639275,751.5345050170384,445.3529394592465,977.2603114686513,520.0986178672579,0.5,0.67,2,0.9397,0.0278,0.3051,1,414.2916666666667,258.5119644501757,977.2603114686513,520.0986178672579,0,186,458.43963503202986,285.66365009871043,0
82,55,196.16363636363636,127.93816171549635,205.13319680258797,600.7742958328766,401.29683316622436,686.6112282481341,0.9,0.7,2,0.9378,0.0419,0.4332,4,624.4166666666666,428.51671658044904,401.29683316622436,686.6112282481341,0,294,881.3721871850033,500.5179368528939,1
83,55,220.16363636363636,112.68689746152447,101.48802024059083,516.3339733354527,321.65165660422724,593.301571465879,0.5,0.5,1,0.9249,0.0083,0.7294,0,704.5,441.0422315379787,321.65165660422724,593.301571465879,1,340,856.8282146075442,462.12001727775487,0
84,23,239.52173913043478,125.000302457101,667.8721833709876,416.3141688783376,907.3939225014224,495.8277964077165,0.2,0.4,1,0.8409,0.0616,0.5696,0,333.25,197.6630655939546,907.3939225014224,495.8277964077165,0,143,323.44181735322326,243.44038211357213,0
85,41,241.6829268292683,107.83777088969366,570.0029965350891,415.8921993224413,811.6859233643573,450.3130021430073,0.3,0.46,1,0.949,0.0228,0.3338,1,583.75,368.11985706650853,811.6859233643573,450.3130021430073,0,258,472.31568571636683,293.5697160902699,0
86,33,244.04545454545453,110.9843261958959,485.5656091981722,409.6039332910084,729.6110637436268,473.35923097079376,0.5,0.67,2,0.892,0.0524,0.5904,2,466.7083333333333,291.2250317146901,729.6110637436268,473.35923097079376,0,220,556.2392935376804,323.92256716623365,2
87,27,191.9814814814815,101.96363562759915,603.2408507777765,420.57548836751084,795.2223322592579,460.4782096465777,0.4,0.49,1,0.9236,0.0086,0.6856,0,310.2083333333333,265.5249877077904,795.2223322592579,460.4782096465777,3,135,526.289972212034,243.56491915645944,2
88,21,248.9047619047619,117.24878099149231,773.6486534415649,482.7375433904098,1022.553415346327,543.4711005535843,0.4,0.49,1,0.8264,0.0991,0.5953,0,310.1666666666667,176.5136129468647,1022.553415346327,543.4711005535843,0,139,315.1448119215569,219.52485186199382,1
89,46,220.7826086956522,104.77297673572261,438.2862799667032,476.15176195192134,659.0688886623553,550.4456453967186,0.4,0.66,2,0.8785,0.0433,0.36,2,601.4166666666666,431.96604001034876,659.0688886623553,550.4456453967186,0,266,614.9048282003192,306.6723781256621,1
90,35,227.84285714285716,116.00084799127065,522.096397681833,467.66459859155094,749.93925482469,530.7576074958002,1.1,0.7,2,0.9419,0.0319,0.6178,2,469.875,305.69668552613825,749.93925482469,530.7576074958002,0,217,583.5242232841092,349.0046668142997,0
91,21,189.83333333333334,101.01983932133301,478.4545575048288,433.1683563388809,668.2878908381621,472.003252663606,0.3,0.46,1,0.9417,0.0148,0.672,1,237.125,202.84930007684687,668.2878908381621,472.003252663606,0,106,517.2938738994338,264.16473906486135,1
92,26,226.25,115.76951986930425,564.0815586192232,395.7844028634925,790.3315586192232,439.7511275035398,0.1,0.3,1,0.904,0.0601,0.646,0,348.4583333333333,222.64213234970202,790.3315586192232,439.7511275035398,2,158,394.34320915371933,214.59441547535528,0
93,35,185.92857142857142,128.25483242676015,379.8372610316074,511.582915325441,565.7658324601788,582.2708602359027,0.4,0.49,1,0.9546,0.0299,0.2241,3,378.625,246.12370915524033,565.7658324601788,582.2708602359027,0,177,757.4994261440922,431.38040798361214,0
94,42,229.95238095238096,123.77614247791057,359.271040020528,431.69368206107987,589.223420972909,496.0222238648177,0.5,0.5,1,0.9389,0.0461,0.4977,3,558.1666666666666,342.75570341311936,589.223420972909,496.0222238648177,0,258,692.5540306518666,448.2784650312523,1
95,42,210.89285714285714,115.961535890667,467.9228659054476,456.8350947093654,678.8157230483048,534.255967825812,0.7,0.78,2,0.9317,0.0072,0.7643,0,519.0416666666666,349.96925212160505,678.8157230483048,534.255967825812,0,244,667.0430750950377,443.43742277612387,2
96,20,249.05,117.29512990742626,722.5374802450807,431.46138744034835,971.5874802450805,502.66237943168005,0.4,0.92,3,0.8666,0.0398,0.5288,0,296.4166666666667,174.5899760072789,971.5874802450805,502.66237943168005,0,133,296.3898222286453,213.64722982835613,0
97,36,238.45833333333334,119.00655765078194,636.7343363163018,466.56838008591717,875.1926696496351,528.4463836875369,0.7,0.64,2,0.8935,0.0532,0.3544,3,510.4583333333333,313.6107897227957,875.1926696496351,528.4463836875369,0,230,423.34534484794045,228.40386021816238,1
98,29,220.5,121.32757028122185,450.4674434569257,418.93999775761773,670.9674434569257,493.54591232785765,0.2,0.4,1,0.9212,0.0258,0.6231,0,390.2083333333333,284.34423521010973,670.9674434569257,493.54591232785765,2,164,567.1107501322106,386.40709891809274,2
99,32,198.109375,120.16906933404026,556.1221362841942,464.48502410674223,754.2315112841942,522.4255973636218,0.3,0.46,1,0.9314,0.0144,0.7156,1,375.2083333333333,266.4564112518635,754.2315112841942,522.4255973636218,1,171,555.8726299591467,292.7493825527722,0
100,16,208.625,111.32139562995067,690.7057813536919,494.7328165900744,899.3307813536921,577.4349324937773,0.1,0.3,1,0.8669,0.0706,0.7759,0,200.0,139.82161254016967,899.3307813536921,577.4349324937773,4,91,360.1482145405337,207.48057245031788,0
101,37,200.66216216216216,121.73009877050296,532.4724738423575,384.2438994667761,733.1346360045197,437.0762640623549,0.3,0.46,1,0.931,0.0313,0.2774,2,438.7083333333333,306.5398599919575,733.1346360045197,437.0762640623549,0,201,528.0264946160725,292.80610304449976,1
